order_date,total_sales,running_totalsales,moving_avgprice
2010-12-01,43419,43419,3101
2011-01-01,469795,513214,3262
2011-02-01,466307,979521,3238
2011-03-01,485165,1464686,3234
2011-04-01,502042,1966728,3197
2011-05-01,561647,2528375,3227
2011-06-01,737793,3266168,3207
2011-07-01,596710,3862878,3173
2011-08-01,614516,4477394,3184
2011-09-01,603047,5080441,3259
2011-10-01,708164,5788605,3204
2011-11-01,660507,6449112,3175
2011-12-01,669395,7118507,3015
2012-01-01,495363,7613870,1965
2012-02-01,506992,8120862,1949
2012-03-01,373478,8494340,1761
2012-04-01,400324,8894664,1827
2012-05-01,358866,9253530,1733
2012-06-01,555142,9808672,1745
2012-07-01,444533,10253205,1807
2012-08-01,523887,10777092,1781
2012-09-01,486149,11263241,1807
2012-10-01,535125,11798366,1709
2012-11-01,537918,12336284,1660
2012-12-01,624454,12960738,1292
2013-01-01,857758,13818496,516
2013-02-01,771218,14589714,223
2013-03-01,1049732,15639446,256
2013-04-01,1045860,16685306,262
2013-05-01,1284456,17969762,291
2013-06-01,1642948,19612710,326
2013-07-01,1371595,20984305,293
2013-08-01,1545910,22530215,318
2013-09-01,1447324,23977539,313
2013-10-01,1673261,25650800,315
2013-11-01,1780688,27431488,340
2013-12-01,1874128,29305616,339
2014-01-01,45642,29351258,23
